lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.92611,40.64528,0.00000,9.399197E-01,9.149252E-01,8.804753E-01,8.380160E-01,7.820710E-01,7.209995E-01,6.502343E-01,5.721017E-01,4.919991E-01,4.111004E-01,3.285633E-01,2.530399E-01,1.878281E-01,1.355617E-01,9.500299E-02,6.484676E-02,4.495813E-02,2.925459E-02,1.873249E-02,1.154018E-02,6.862217E-03,3.935344E-03,1.934091E-03,8.867844E-04,3.883727E-04,1.460805E-04,5.514432E-05,1.725035E-05,3.966078E-06,2.560385E-07
22.92652,40.64506,0.00000,9.401106E-01,9.151971E-01,8.808579E-01,8.385072E-01,7.826902E-01,7.217563E-01,6.511020E-01,5.730376E-01,4.929704E-01,4.120659E-01,3.295419E-01,2.538312E-01,1.885367E-01,1.360914E-01,9.543438E-02,6.514058E-02,4.517077E-02,2.940351E-02,1.883566E-02,1.161619E-02,6.909105E-03,3.965918E-03,1.952671E-03,8.966475E-04,3.926376E-04,1.485009E-04,5.625402E-05,1.769544E-05,4.112494E-06,2.899192E-07
22.92694,40.64484,0.00000,9.401685E-01,9.152594E-01,8.809739E-01,8.386512E-01,7.828620E-01,7.219534E-01,6.513202E-01,5.732695E-01,4.932104E-01,4.123043E-01,3.297735E-01,2.540263E-01,1.887080E-01,1.362198E-01,9.554037E-02,6.521085E-02,4.522110E-02,2.943933E-02,1.886149E-02,1.163677E-02,6.923110E-03,3.976079E-03,1.957256E-03,9.013180E-04,3.936522E-04,1.497629E-04,5.685613E-05,1.794944E-05,4.199976E-06,3.109916E-07
22.92735,40.64463,0.00000,9.400783E-01,9.151530E-01,8.807972E-01,8.384342E-01,7.826049E-01,7.216585E-01,6.509961E-01,5.729282E-01,4.928592E-01,4.119576E-01,3.294032E-01,2.537442E-01,1.884456E-01,1.360336E-01,9.538285E-02,6.510565E-02,4.514260E-02,2.938468E-02,1.882492E-02,1.161242E-02,6.910265E-03,3.969528E-03,1.950469E-03,9.016292E-04,3.920236E-04,1.500365E-04,5.702097E-05,1.803624E-05,4.235299E-06,3.199847E-07
22.92776,40.64441,0.00000,9.399147E-01,9.154461E-01,8.818609E-01,8.380377E-01,7.821341E-01,7.211171E-01,6.508494E-01,5.722986E-01,4.922145E-01,4.113230E-01,3.287514E-01,2.532319E-01,1.879794E-01,1.356985E-01,9.510189E-02,6.491740E-02,4.500357E-02,2.928768E-02,1.875938E-02,1.156716E-02,6.885085E-03,3.955390E-03,1.938367E-03,8.999667E-04,3.891584E-04,1.498601E-04,5.698649E-05,1.804705E-05,4.246812E-06,3.245570E-07
22.92818,40.64420,0.00000,9.397598E-01,9.152081E-01,8.815650E-01,8.376651E-01,7.816917E-01,7.206095E-01,6.502920E-01,5.717109E-01,4.916092E-01,4.107261E-01,3.290694E-01,2.527463E-01,1.878552E-01,1.353785E-01,9.492058E-02,6.473701E-02,4.487044E-02,2.919473E-02,1.869656E-02,1.152391E-02,6.861074E-03,3.937492E-03,1.926809E-03,8.985532E-04,3.864267E-04,1.497480E-04,5.698223E-05,1.806984E-05,4.262472E-06,3.307848E-07
22.92859,40.64398,0.00000,9.396465E-01,9.150498E-01,8.813483E-01,8.373914E-01,7.813672E-01,7.202368E-01,6.498818E-01,5.712789E-01,4.911668E-01,4.102902E-01,3.286138E-01,2.523948E-01,1.875310E-01,1.351478E-01,9.472618E-02,6.460688E-02,4.477388E-02,2.912754E-02,1.865157E-02,1.149369E-02,6.844877E-03,3.922763E-03,1.918827E-03,8.983653E-04,3.844514E-04,1.499058E-04,5.709622E-05,1.813782E-05,4.292016E-06,3.400017E-07
22.92900,40.64377,0.00000,9.395809E-01,9.149531E-01,8.812240E-01,8.372375E-01,7.811885E-01,7.200305E-01,6.496063E-01,5.710287E-01,4.908996E-01,4.100130E-01,3.282772E-01,2.521737E-01,1.872925E-01,1.349878E-01,9.458412E-02,6.451183E-02,4.470354E-02,2.907843E-02,1.861904E-02,1.147229E-02,6.833944E-03,3.911641E-03,1.912801E-03,8.990405E-04,3.830093E-04,1.502625E-04,5.729927E-05,1.823991E-05,4.332506E-06,3.516141E-07
22.92942,40.64355,0.00000,9.394861E-01,9.148426E-01,8.810430E-01,8.370098E-01,7.809188E-01,7.197227E-01,6.492023E-01,5.706718E-01,4.905328E-01,4.096519E-01,3.278910E-01,2.518803E-01,1.870193E-01,1.347947E-01,9.442083E-02,6.440257E-02,4.462228E-02,2.902204E-02,1.858146E-02,1.144749E-02,6.821073E-03,3.898857E-03,1.905877E-03,8.994791E-04,3.813573E-04,1.505694E-04,5.748189E-05,1.833527E-05,4.371037E-06,3.632098E-07
22.92983,40.64333,0.00000,9.393352E-01,9.146245E-01,8.807414E-01,8.366465E-01,7.804872E-01,7.192270E-01,6.485767E-01,5.700952E-01,4.899395E-01,4.090667E-01,3.272904E-01,2.514012E-01,1.865929E-01,1.344852E-01,9.416428E-02,6.423074E-02,4.449519E-02,2.893369E-02,1.852200E-02,1.140690E-02,6.798874E-03,3.878703E-03,1.894995E-03,8.983537E-04,3.787898E-04,1.505021E-04,5.750181E-05,1.836851E-05,4.389509E-06,3.714469E-07
22.93024,40.64312,0.00000,9.391203E-01,9.143060E-01,8.802608E-01,8.361298E-01,7.798747E-01,7.185256E-01,6.476820E-01,5.692813E-01,4.891044E-01,4.082419E-01,3.264258E-01,2.507322E-01,1.859771E-01,1.340452E-01,9.379433E-02,6.398365E-02,4.431330E-02,2.880682E-02,1.843603E-02,1.134731E-02,6.765256E-03,3.849688E-03,1.879368E-03,8.953705E-04,3.751276E-04,1.500363E-04,5.733346E-05,1.833009E-05,4.385080E-06,3.765335E-07
22.93066,40.64290,0.00000,9.388660E-01,9.139289E-01,8.796936E-01,8.355190E-01,7.791513E-01,7.176959E-01,6.466385E-01,5.683193E-01,4.881178E-01,4.072678E-01,3.254085E-01,2.499419E-01,1.852527E-01,1.335264E-01,9.335907E-02,6.369314E-02,4.409971E-02,2.865764E-02,1.833489E-02,1.127701E-02,6.725354E-03,3.815625E-03,1.861056E-03,8.914407E-04,3.708448E-04,1.493457E-04,5.706997E-05,1.825576E-05,4.369258E-06,3.797470E-07
22.93107,40.64269,0.00000,9.386318E-01,9.135820E-01,8.791717E-01,8.349578E-01,7.784868E-01,7.169353E-01,6.458035E-01,5.674385E-01,4.872146E-01,4.063763E-01,3.244772E-01,2.492199E-01,1.845905E-01,1.330530E-01,9.296173E-02,6.342787E-02,4.390473E-02,2.852163E-02,1.824276E-02,1.121320E-02,6.689251E-03,3.784677E-03,1.844428E-03,8.880862E-04,3.669588E-04,1.487769E-04,5.686039E-05,1.820082E-05,4.359450E-06,3.836518E-07
22.93148,40.64247,0.00000,9.385040E-01,9.133896E-01,8.788786E-01,8.346546E-01,7.781289E-01,7.165265E-01,6.453537E-01,5.669616E-01,4.867218E-01,4.058864E-01,3.239457E-01,2.488179E-01,1.842149E-01,1.327866E-01,9.273705E-02,6.327748E-02,4.379363E-02,2.844438E-02,1.819120E-02,1.117856E-02,6.670649E-03,3.767318E-03,1.835011E-03,8.861860E-04,3.647687E-04,1.488617E-04,5.694146E-05,1.825718E-05,4.385224E-06,3.935357E-07
22.93189,40.64225,0.00000,9.385463E-01,9.134530E-01,8.789698E-01,8.347582E-01,7.782529E-01,7.166688E-01,6.455107E-01,5.671281E-01,4.868937E-01,4.060569E-01,3.243884E-01,2.489557E-01,1.844343E-01,1.328771E-01,9.283689E-02,6.332629E-02,4.382800E-02,2.846905E-02,1.820951E-02,1.119409E-02,6.682032E-03,3.773159E-03,1.838176E-03,8.877679E-04,3.654709E-04,1.500729E-04,5.752634E-05,1.850690E-05,4.473225E-06,4.139891E-07
22.93231,40.64204,0.00000,9.388071E-01,9.138409E-01,8.795471E-01,8.353891E-01,7.790018E-01,7.175269E-01,6.464537E-01,5.681260E-01,4.879183E-01,4.070701E-01,3.254227E-01,2.497781E-01,1.851767E-01,1.334163E-01,9.328564E-02,6.362504E-02,4.404484E-02,2.862145E-02,1.831537E-02,1.127238E-02,6.730847E-03,3.808595E-03,1.857078E-03,8.972689E-04,3.698079E-04,1.527307E-04,5.876222E-05,1.900820E-05,4.643046E-06,4.486186E-07
22.93272,40.64182,0.00000,9.393174E-01,9.145578E-01,8.805875E-01,8.366354E-01,7.804967E-01,7.192533E-01,6.483640E-01,5.701462E-01,4.899783E-01,4.090752E-01,3.272738E-01,2.513156E-01,1.864977E-01,1.343887E-01,9.408773E-02,6.415939E-02,4.443377E-02,2.889432E-02,1.850412E-02,1.141034E-02,6.815279E-03,3.872058E-03,1.891069E-03,9.143304E-04,3.776434E-04,1.567800E-04,6.061910E-05,1.975200E-05,4.891555E-06,4.971153E-07
22.93313,40.64161,0.00000,9.398964E-01,9.153652E-01,8.818480E-01,8.380424E-01,7.821683E-01,7.211729E-01,6.505587E-01,5.723789E-01,4.922718E-01,4.113416E-01,3.295993E-01,2.531566E-01,1.881709E-01,1.356000E-01,9.509984E-02,6.483405E-02,4.492535E-02,2.923941E-02,1.874240E-02,1.158419E-02,6.921050E-03,3.952806E-03,1.934439E-03,9.361030E-04,3.876775E-04,1.617421E-04,6.288151E-05,2.066125E-05,5.194019E-06,5.580816E-07
22.93355,40.64139,0.00000,9.404352E-01,9.161848E-01,8.828879E-01,8.393564E-01,7.837319E-01,7.229699E-01,6.527729E-01,5.744720E-01,4.944282E-01,4.134782E-01,3.318040E-01,2.549012E-01,1.897622E-01,1.367524E-01,9.606475E-02,6.547721E-02,4.539440E-02,2.959457E-02,1.897009E-02,1.175087E-02,7.022672E-03,4.030593E-03,1.976228E-03,9.571138E-04,3.973783E-04,1.665230E-04,6.512474E-05,2.157166E-05,5.497736E-06,6.364122E-07
22.93396,40.64118,0.00000,9.408013E-01,9.167398E-01,8.835963E-01,8.402531E-01,7.847955E-01,7.241910E-01,6.539998E-01,5.758916E-01,4.958943E-01,4.149355E-01,3.333493E-01,2.560870E-01,1.908808E-01,1.375547E-01,9.674490E-02,6.593034E-02,4.572381E-02,2.987091E-02,1.913108E-02,1.186938E-02,7.095621E-03,4.085970E-03,2.005996E-03,9.720946E-04,4.043004E-04,1.702419E-04,6.688362E-05,2.229417E-05,5.741657E-06,7.080893E-07
22.93438,40.64096,0.00000,9.409181E-01,9.169161E-01,8.838239E-01,8.405413E-01,7.851391E-01,7.245868E-01,6.544015E-01,5.763549E-01,4.963737E-01,4.154128E-01,3.338375E-01,2.564808E-01,1.912368E-01,1.378160E-01,9.696286E-02,6.607544E-02,4.582856E-02,2.996519E-02,1.918324E-02,1.190970E-02,7.121970E-03,4.104004E-03,2.015673E-03,9.769651E-04,4.065486E-04,1.722248E-04,6.783056E-05,2.269778E-05,5.883162E-06,7.524044E-07
22.93479,40.64075,0.00000,9.408107E-01,9.167354E-01,8.836187E-01,8.402858E-01,7.848420E-01,7.242492E-01,6.540620E-01,5.759645E-01,4.959610E-01,4.149894E-01,3.333049E-01,2.560914E-01,1.908566E-01,1.375497E-01,9.673369E-02,6.592295E-02,4.571503E-02,2.986406E-02,1.913008E-02,1.187378E-02,7.102816E-03,4.085696E-03,2.005787E-03,9.719887E-04,4.042153E-04,1.724317E-04,6.794366E-05,2.276991E-05,5.916785E-06,7.650632E-07
22.93520,40.64053,0.00000,9.405445E-01,9.163262E-01,8.831057E-01,8.396368E-01,7.840712E-01,7.233627E-01,6.531932E-01,5.749321E-01,4.948967E-01,4.139366E-01,3.321995E-01,2.552299E-01,1.900625E-01,1.369795E-01,9.625358E-02,6.560193E-02,4.547890E-02,2.965672E-02,1.901779E-02,1.179541E-02,7.058453E-03,4.047081E-03,1.984970E-03,9.615113E-04,3.993487E-04,1.716656E-04,6.759469E-05,2.265821E-05,5.890318E-06,7.618937E-07
22.93562,40.64032,0.00000,9.404429E-01,9.160253E-01,8.827607E-01,8.391492E-01,7.833968E-01,7.226160E-01,6.523926E-01,5.739899E-01,4.939193E-01,4.129641E-01,3.311784E-01,2.544389E-01,1.893227E-01,1.364548E-01,9.580622E-02,6.530365E-02,4.525920E-02,2.949624E-02,1.891346E-02,1.172276E-02,7.017500E-03,4.011356E-03,1.965709E-03,9.518262E-04,3.948537E-04,1.710465E-04,6.731804E-05,2.257481E-05,5.873255E-06,7.632697E-07
22.93603,40.64010,0.00000,9.403497E-01,9.158806E-01,8.825830E-01,8.389247E-01,7.831306E-01,7.223103E-01,6.519399E-01,5.736345E-01,4.935564E-01,4.126041E-01,3.307934E-01,2.541451E-01,1.890496E-01,1.362611E-01,9.564249E-02,6.519354E-02,4.517750E-02,2.942394E-02,1.887578E-02,1.169834E-02,7.005351E-03,3.998521E-03,1.958757E-03,9.483357E-04,3.932273E-04,1.715565E-04,6.755696E-05,2.269643E-05,5.922756E-06,7.824459E-07
22.93644,40.63989,0.00000,9.405173E-01,9.161134E-01,8.829080E-01,8.393410E-01,7.836339E-01,7.228916E-01,6.526452E-01,5.743035E-01,4.942263E-01,4.132448E-01,3.313614E-01,2.546198E-01,1.894620E-01,1.365662E-01,9.589389E-02,6.536137E-02,4.529853E-02,2.953127E-02,1.893564E-02,1.174415E-02,7.035013E-03,4.019072E-03,1.969801E-03,9.539003E-04,3.958019E-04,1.737197E-04,6.858612E-05,2.303281E-05,6.073948E-06,8.277149E-07
22.93686,40.63967,0.00000,9.408818E-01,9.166673E-01,8.836074E-01,8.402342E-01,7.846956E-01,7.241134E-01,6.538680E-01,5.757295E-01,4.956954E-01,4.147032E-01,3.328635E-01,2.558135E-01,1.905488E-01,1.373561E-01,9.655458E-02,6.580223E-02,4.561930E-02,2.978097E-02,1.909183E-02,1.185954E-02,7.106293E-03,4.072875E-03,1.998716E-03,9.684542E-04,4.025490E-04,1.776529E-04,7.044138E-05,2.352016E-05,6.332506E-06,9.024677E-07
22.93727,40.63945,0.00000,9.414020E-01,9.174582E-01,8.844628E-01,8.415104E-01,7.862154E-01,7.258646E-01,6.556242E-01,5.777720E-01,4.978045E-01,4.167958E-01,3.350279E-01,2.575287E-01,1.921158E-01,1.384932E-01,9.750824E-02,6.643900E-02,4.608338E-02,3.019240E-02,1.931713E-02,1.202507E-02,7.207431E-03,4.150982E-03,2.040737E-03,9.896134E-04,4.123814E-04,1.828294E-04,7.289551E-05,2.424664E-05,6.670749E-06,1.004314E-06
22.93768,40.63924,0.00000,9.419738E-01,9.183287E-01,8.854067E-01,8.429208E-01,7.878951E-01,7.278026E-01,6.577623E-01,5.800362E-01,5.001429E-01,4.191191E-01,3.374349E-01,2.594392E-01,1.938649E-01,1.397632E-01,9.857438E-02,6.715163E-02,4.658286E-02,3.065940E-02,1.956958E-02,1.221041E-02,7.320260E-03,4.239130E-03,2.088252E-03,1.013551E-03,4.235457E-04,1.885638E-04,7.562302E-05,2.507638E-05,7.048596E-06,1.122209E-06
22.93810,40.63902,0.00000,9.424857E-01,9.191077E-01,8.862528E-01,8.441893E-01,7.894078E-01,7.295498E-01,6.596917E-01,5.820782E-01,5.022569E-01,4.212201E-01,3.397605E-01,2.612912E-01,1.954526E-01,1.410549E-01,9.954519E-02,6.780072E-02,4.703403E-02,3.108650E-02,1.979995E-02,1.238030E-02,7.423976E-03,4.320200E-03,2.132029E-03,1.035596E-03,4.338502E-04,1.940494E-04,7.791528E-05,2.584599E-05,7.414799E-06,1.237169E-06
22.93851,40.63881,0.00000,9.416133E-01,9.182051E-01,8.860402E-01,8.436790E-01,7.903106E-01,7.295710E-01,6.600351E-01,5.827274E-01,5.031867E-01,4.223389E-01,3.412507E-01,2.623911E-01,1.966156E-01,1.419281E-01,1.002312E-01,6.825367E-02,4.735418E-02,3.138531E-02,1.995862E-02,1.249811E-02,7.496675E-03,4.376504E-03,2.162462E-03,1.050958E-03,4.410291E-04,1.982758E-04,7.931047E-05,2.637769E-05,7.705165E-06,1.328665E-06
22.93892,40.63859,0.00000,9.417177E-01,9.183618E-01,8.862451E-01,8.439397E-01,7.906923E-01,7.299308E-01,6.604323E-01,5.831485E-01,5.036235E-01,4.227748E-01,3.416955E-01,2.627524E-01,1.969433E-01,1.421927E-01,1.004337E-01,6.840536E-02,4.744377E-02,3.147414E-02,2.000724E-02,1.253624E-02,7.521929E-03,4.393918E-03,2.171875E-03,1.055724E-03,4.432532E-04,2.004513E-04,7.970369E-05,2.661025E-05,7.869742E-06,1.381218E-06
22.93934,40.63838,0.00000,9.415406E-01,9.180937E-01,8.859017E-01,8.435036E-01,7.900623E-01,7.293281E-01,6.597678E-01,5.824478E-01,5.029023E-01,4.220617E-01,3.409580E-01,2.621748E-01,1.964097E-01,1.417672E-01,1.001090E-01,6.816366E-02,4.729506E-02,3.132927E-02,1.993096E-02,1.248358E-02,7.493138E-03,4.367138E-03,2.157357E-03,1.048432E-03,4.413636E-04,2.003082E-04,7.895382E-05,2.665595E-05,7.886063E-06,1.388154E-06
22.93975,40.63816,0.00000,9.411312E-01,9.174676E-01,8.851081E-01,8.424966E-01,7.885607E-01,7.279430E-01,6.582409E-01,5.808318E-01,5.012296E-01,4.203993E-01,3.392046E-01,2.607986E-01,1.951379E-01,1.407510E-01,9.933328E-02,6.764467E-02,4.691443E-02,3.098546E-02,1.974788E-02,1.235360E-02,7.418401E-03,4.302748E-03,2.122494E-03,1.030880E-03,4.369595E-04,1.981369E-04,7.724450E-05,2.635129E-05,7.771268E-06,1.353951E-06
22.94016,40.63794,0.00000,9.405795E-01,9.166237E-01,8.840408E-01,8.411438E-01,7.865459E-01,7.260872E-01,6.564088E-01,5.786657E-01,4.989886E-01,4.181744E-01,3.368663E-01,2.588547E-01,1.934444E-01,1.394169E-01,9.830169E-02,6.695455E-02,4.644819E-02,3.053015E-02,1.950496E-02,1.218045E-02,7.317976E-03,4.217702E-03,2.076499E-03,1.007748E-03,4.303781E-04,1.948412E-04,7.502545E-05,2.585113E-05,7.586116E-06,1.297102E-06
22.94058,40.63773,0.00000,9.400107E-01,9.157547E-01,8.829444E-01,8.397563E-01,7.844831E-01,7.241868E-01,6.545401E-01,5.764511E-01,4.967021E-01,4.159035E-01,3.344842E-01,2.569787E-01,1.917241E-01,1.381771E-01,9.725658E-02,6.625596E-02,4.593795E-02,3.007363E-02,1.925961E-02,1.200601E-02,7.216693E-03,4.132377E-03,2.030446E-03,9.846010E-04,4.237479E-04,1.915282E-04,7.282758E-05,2.535098E-05,7.406599E-06,1.242071E-06
22.94099,40.63751,0.00000,9.395487E-01,9.150439E-01,8.819373E-01,8.386353E-01,7.831209E-01,7.226588E-01,6.528708E-01,5.746703E-01,4.948623E-01,4.140709E-01,3.325381E-01,2.554634E-01,1.903220E-01,1.371685E-01,9.640681E-02,6.568777E-02,4.552140E-02,2.970371E-02,1.906077E-02,1.186556E-02,7.135680E-03,4.063658E-03,1.993400E-03,9.659886E-04,4.187740E-04,1.890598E-04,7.106196E-05,2.499645E-05,7.281772E-06,1.209666E-06
22.94140,40.63730,0.00000,9.392545E-01,9.145931E-01,8.812763E-01,8.379236E-01,7.822770E-01,7.216886E-01,6.518010E-01,5.735413E-01,4.936993E-01,4.129185E-01,3.313280E-01,2.545208E-01,1.894530E-01,1.365445E-01,9.588172E-02,6.533665E-02,4.526338E-02,2.951200E-02,1.893845E-02,1.178038E-02,7.087540E-03,4.021650E-03,1.970760E-03,9.546363E-04,4.165449E-04,1.880020E-04,6.997077E-05,2.488207E-05,7.244185E-06,1.204425E-06
22.94182,40.63708,0.00000,9.391687E-01,9.144596E-01,8.810820E-01,8.377182E-01,7.820336E-01,7.214096E-01,6.514932E-01,5.732164E-01,4.933660E-01,4.125890E-01,3.309733E-01,2.542510E-01,1.892009E-01,1.363665E-01,9.573073E-02,6.523555E-02,4.518791E-02,2.944604E-02,1.890391E-02,1.175856E-02,7.077255E-03,4.009937E-03,1.964421E-03,9.514856E-04,4.175515E-04,1.886080E-04,6.963378E-05,2.505637E-05,7.309216E-06,1.227205E-06
22.94223,40.63686,0.00000,9.392926E-01,9.146456E-01,8.813559E-01,8.380205E-01,7.823926E-01,7.218218E-01,6.519493E-01,5.736986E-01,4.938622E-01,4.130817E-01,3.314741E-01,2.546549E-01,1.895660E-01,1.366336E-01,9.595328E-02,6.538373E-02,4.529459E-02,2.953478E-02,1.895673E-02,1.179962E-02,7.104435E-03,4.028349E-03,1.974286E-03,9.564806E-04,4.217047E-04,1.908340E-04,7.021990E-05,2.551041E-05,7.480910E-06,1.275770E-06
22.94263,40.63664,0.00000,9.395846E-01,9.150880E-01,8.820066E-01,8.387310E-01,7.832370E-01,7.227923E-01,6.530214E-01,5.748299E-01,4.950287E-01,4.142396E-01,3.326672E-01,2.556027E-01,1.904303E-01,1.372621E-01,9.647894E-02,6.573451E-02,4.554908E-02,2.973146E-02,1.908046E-02,1.189174E-02,7.162024E-03,4.071292E-03,1.997381E-03,9.681399E-04,4.284490E-04,1.944721E-04,7.183816E-05,2.619886E-05,7.741585E-06,1.350448E-06
22.94303,40.63641,0.00000,9.399351E-01,9.156199E-01,8.828067E-01,8.395863E-01,7.842535E-01,7.239624E-01,6.543121E-01,5.761938E-01,4.964365E-01,4.156368E-01,3.341121E-01,2.567489E-01,1.914775E-01,1.380220E-01,9.711594E-02,6.615965E-02,4.585801E-02,3.000881E-02,1.923039E-02,1.200293E-02,7.231080E-03,4.123549E-03,2.025534E-03,9.823400E-04,4.362440E-04,1.986685E-04,7.369855E-05,2.699010E-05,8.040611E-06,1.443625E-06
22.94345,40.63619,0.00000,9.402048E-01,9.160287E-01,8.833286E-01,8.402469E-01,7.851418E-01,7.248676E-01,6.552572E-01,5.772501E-01,4.975263E-01,4.167216E-01,3.352302E-01,2.576390E-01,1.922897E-01,1.386139E-01,9.761159E-02,6.649088E-02,4.609834E-02,3.022449E-02,1.934739E-02,1.209048E-02,7.285954E-03,4.164581E-03,2.047702E-03,9.935200E-04,4.424838E-04,2.020456E-04,7.533763E-05,2.769120E-05,8.307934E-06,1.529062E-06
22.94386,40.63598,0.00000,9.403020E-01,9.161744E-01,8.835177E-01,8.404862E-01,7.854919E-01,7.251969E-01,6.555908E-01,5.776349E-01,4.979253E-01,4.171183E-01,3.356323E-01,2.579662E-01,1.925842E-01,1.388317E-01,9.779254E-02,6.661198E-02,4.618512E-02,3.030260E-02,1.939056E-02,1.212456E-02,7.308947E-03,4.179941E-03,2.056010E-03,9.977324E-04,4.445714E-04,2.030768E-04,7.637288E-05,2.813933E-05,8.481905E-06,1.585648E-06
22.94427,40.63576,0.00000,9.401682E-01,9.159676E-01,8.832605E-01,8.401617E-01,7.850037E-01,7.247528E-01,6.551609E-01,5.771174E-01,4.973904E-01,4.165889E-01,3.350686E-01,2.575313E-01,1.921803E-01,1.385431E-01,9.754827E-02,6.644845E-02,4.606395E-02,3.019536E-02,1.933375E-02,1.208658E-02,7.289093E-03,4.160380E-03,2.045432E-03,9.924662E-04,4.419386E-04,2.017937E-04,7.660162E-05,2.824818E-05,8.527389E-06,1.601941E-06
22.94468,40.63554,0.00000,9.398268E-01,9.154444E-01,8.826035E-01,8.393315E-01,7.839530E-01,7.236170E-01,6.539336E-01,5.757942E-01,4.960262E-01,4.152337E-01,3.336461E-01,2.564187E-01,1.911556E-01,1.378050E-01,9.692687E-02,6.603222E-02,4.575846E-02,2.992254E-02,1.918856E-02,1.198491E-02,7.231354E-03,4.110070E-03,2.018244E-03,9.788744E-04,4.374520E-04,1.984825E-04,7.609932E-05,2.804945E-05,8.454639E-06,1.583656E-06
22.94509,40.63532,0.00000,9.393781E-01,9.147594E-01,8.817418E-01,8.382429E-01,7.826608E-01,7.221311E-01,6.522930E-01,5.740623E-01,4.942413E-01,4.134627E-01,3.317929E-01,2.549689E-01,1.898219E-01,1.368439E-01,9.611917E-02,6.549169E-02,4.536234E-02,2.958491E-02,1.900011E-02,1.185222E-02,7.155133E-03,4.044925E-03,1.983100E-03,9.612949E-04,4.331780E-04,1.942130E-04,7.523435E-05,2.770004E-05,8.323062E-06,1.551862E-06
22.94550,40.63510,0.00000,9.389552E-01,9.142698E-01,8.809314E-01,8.372208E-01,7.814479E-01,7.207373E-01,6.507563E-01,5.724401E-01,4.925715E-01,4.118063E-01,3.300625E-01,2.536149E-01,1.885787E-01,1.359493E-01,9.536760E-02,6.498890E-02,4.499361E-02,2.930134E-02,1.882514E-02,1.172952E-02,7.084848E-03,3.992879E-03,1.950691E-03,9.451117E-04,4.293724E-04,1.902867E-04,7.447520E-05,2.739443E-05,8.207644E-06,1.525187E-06
22.94592,40.63489,0.00000,9.386808E-01,9.139286E-01,8.804075E-01,8.365625E-01,7.806712E-01,7.198471E-01,6.497716E-01,5.713955E-01,4.914859E-01,4.107192E-01,3.288839E-01,2.527050E-01,1.877351E-01,1.353452E-01,9.485859E-02,6.464912E-02,4.474415E-02,2.912713E-02,1.870722E-02,1.164794E-02,7.039003E-03,3.966962E-03,1.929013E-03,9.343221E-04,4.276155E-04,1.876772E-04,7.418446E-05,2.728453E-05,8.166635E-06,1.519047E-06
22.94633,40.63467,0.00000,9.385651E-01,9.137926E-01,8.801876E-01,8.362863E-01,7.803432E-01,7.194713E-01,6.493573E-01,5.709581E-01,4.910369E-01,4.102751E-01,3.284128E-01,2.523434E-01,1.874036E-01,1.351070E-01,9.465773E-02,6.451476E-02,4.464436E-02,2.905778E-02,1.866112E-02,1.161794E-02,7.023929E-03,3.960406E-03,1.920627E-03,9.301825E-04,4.284206E-04,1.866762E-04,7.447830E-05,2.741836E-05,8.216844E-06,1.538634E-06
22.94674,40.63446,0.00000,9.385971E-01,9.138282E-01,8.802502E-01,8.363658E-01,7.804382E-01,7.195801E-01,6.494784E-01,5.710863E-01,4.911689E-01,4.104069E-01,3.285378E-01,2.524514E-01,1.874970E-01,1.351788E-01,9.471583E-02,6.455348E-02,4.467103E-02,2.907680E-02,1.867532E-02,1.163116E-02,7.034550E-03,3.969951E-03,1.923396E-03,9.316333E-04,4.313818E-04,1.870282E-04,7.526609E-05,2.775865E-05,8.347184E-06,1.580190E-06
22.94716,40.63424,0.00000,9.386955E-01,9.139406E-01,8.804399E-01,8.366052E-01,7.807232E-01,7.199070E-01,6.498395E-01,5.714670E-01,4.915617E-01,4.107971E-01,3.289310E-01,2.527698E-01,1.877827E-01,1.353893E-01,9.489021E-02,6.466985E-02,4.475442E-02,2.913532E-02,1.871657E-02,1.166389E-02,7.056891E-03,3.986974E-03,1.931187E-03,9.355930E-04,4.354163E-04,1.879877E-04,7.630641E-05,2.820513E-05,8.517828E-06,1.633296E-06
22.94757,40.63403,0.00000,9.387646E-01,9.140192E-01,8.805736E-01,8.367745E-01,7.809243E-01,7.201379E-01,6.500952E-01,5.717375E-01,4.918409E-01,4.110733E-01,3.292063E-01,2.529962E-01,1.879819E-01,1.355394E-01,9.501399E-02,6.475254E-02,4.481313E-02,2.917665E-02,1.874601E-02,1.168797E-02,7.073989E-03,4.000633E-03,1.936808E-03,9.384685E-04,4.389615E-04,1.886871E-04,7.723313E-05,2.860387E-05,8.669984E-06,1.680998E-06
