lon,lat,depth,poe-0.5000000,poe-0.5544126,poe-0.6147467,poe-0.6816467,poe-0.7558270,poe-0.8380801,poe-0.9292844,poe-1.0304139,poe-1.1425490,poe-1.2668872,poe-1.4047565,poe-1.5576294,poe-1.7271388,poe-1.9150951,poe-2.1235058,poe-2.3545968,poe-2.6108364,poe-2.8949613,poe-3.2100061,poe-3.5593358,poe-3.9466814,poe-4.3761800,poe-4.8524188,poe-5.3804844,poe-5.9660170,poe-6.6152702,poe-7.3351786,poe-8.1334311,poe-9.0185537,poe-10.0000000
22.95951,40.56594,0.00000,3.839391E-01,3.581719E-01,3.309635E-01,3.031576E-01,2.763683E-01,2.507257E-01,2.263529E-01,2.034588E-01,1.841481E-01,1.659556E-01,1.479051E-01,1.306452E-01,1.148269E-01,1.004384E-01,8.791777E-02,7.656536E-02,6.607308E-02,5.672697E-02,4.888572E-02,4.205914E-02,3.605324E-02,3.067717E-02,2.609376E-02,2.218158E-02,1.872434E-02,1.551486E-02,1.278071E-02,1.046448E-02,8.681043E-03,7.281634E-03
22.96189,40.56594,0.00000,3.840578E-01,3.582937E-01,3.309988E-01,3.031946E-01,2.764067E-01,2.507651E-01,2.263931E-01,2.035599E-01,1.842421E-01,1.660427E-01,1.479424E-01,1.306819E-01,1.148626E-01,1.004734E-01,8.793622E-02,7.659614E-02,6.610226E-02,5.675444E-02,4.893743E-02,4.210573E-02,3.609597E-02,3.069874E-02,2.612245E-02,2.220715E-02,1.873936E-02,1.552821E-02,1.279262E-02,1.047493E-02,8.699756E-03,7.298464E-03
22.96427,40.56594,0.00000,3.841954E-01,3.584296E-01,3.310336E-01,3.032311E-01,2.764447E-01,2.508041E-01,2.264328E-01,2.036674E-01,1.843439E-01,1.661381E-01,1.479796E-01,1.307184E-01,1.148981E-01,1.005080E-01,8.795474E-02,7.662656E-02,6.613138E-02,5.678172E-02,4.898488E-02,4.214890E-02,3.613525E-02,3.072025E-02,2.615129E-02,2.223282E-02,1.875428E-02,1.554151E-02,1.280448E-02,1.048534E-02,8.717886E-03,7.309518E-03
22.96664,40.56594,0.00000,3.840002E-01,3.582668E-01,3.310682E-01,3.032674E-01,2.764822E-01,2.508427E-01,2.264722E-01,2.037119E-01,1.843960E-01,1.661959E-01,1.480164E-01,1.307545E-01,1.149332E-01,1.005423E-01,8.797273E-02,7.665684E-02,6.615981E-02,5.680863E-02,4.903151E-02,4.219148E-02,3.617404E-02,3.074156E-02,2.617956E-02,2.225799E-02,1.876902E-02,1.555468E-02,1.281618E-02,1.049566E-02,8.735385E-03,7.319781E-03
22.96902,40.56594,0.00000,3.828509E-01,3.571369E-01,3.297192E-01,3.019672E-01,2.752365E-01,2.496575E-01,2.253516E-01,2.028542E-01,1.835859E-01,1.654353E-01,1.471733E-01,1.299821E-01,1.142303E-01,9.990766E-02,8.743165E-02,7.614452E-02,6.570412E-02,5.642236E-02,4.872416E-02,4.192112E-02,3.593789E-02,3.050600E-02,2.600221E-02,2.210446E-02,1.861422E-02,1.542296E-02,1.270483E-02,1.040205E-02,8.678191E-03,7.261833E-03
22.97140,40.56594,0.00000,3.837459E-01,3.580225E-01,3.297534E-01,3.020031E-01,2.752737E-01,2.496956E-01,2.253904E-01,2.035767E-01,1.842552E-01,1.658711E-01,1.472098E-01,1.300178E-01,1.142650E-01,9.994153E-02,8.744968E-02,7.617433E-02,6.573240E-02,5.652119E-02,4.880486E-02,4.198734E-02,3.599247E-02,3.053520E-02,2.605030E-02,2.214330E-02,1.862860E-02,1.543585E-02,1.271621E-02,1.041213E-02,8.694415E-03,7.275552E-03
22.97378,40.56594,0.00000,3.838619E-01,3.581395E-01,3.297871E-01,3.020386E-01,2.753107E-01,2.497335E-01,2.254292E-01,2.036826E-01,1.843559E-01,1.659078E-01,1.472460E-01,1.300532E-01,1.142995E-01,9.997512E-02,8.701976E-02,7.619178E-02,6.576040E-02,5.657398E-02,4.885204E-02,4.202974E-02,3.603045E-02,3.056560E-02,2.607714E-02,2.216709E-02,1.864276E-02,1.544850E-02,1.272743E-02,1.042202E-02,8.710015E-03,7.284228E-03
22.97615,40.56594,0.00000,3.823942E-01,3.566771E-01,3.281016E-01,3.004137E-01,2.737537E-01,2.482521E-01,2.240281E-01,2.025768E-01,1.833128E-01,1.647641E-01,1.461918E-01,1.290866E-01,1.134197E-01,9.918012E-02,8.630495E-02,7.556176E-02,6.518872E-02,5.612798E-02,4.845803E-02,4.168302E-02,3.572707E-02,3.030380E-02,2.584874E-02,2.196917E-02,1.844721E-02,1.528194E-02,1.258647E-02,1.030333E-02,8.633129E-03,7.208482E-03
22.97853,40.56594,0.00000,3.826551E-01,3.567083E-01,3.281349E-01,3.004488E-01,2.737902E-01,2.482894E-01,2.240663E-01,2.027236E-01,1.834485E-01,1.648002E-01,1.462274E-01,1.291215E-01,1.134535E-01,9.921310E-02,8.633680E-02,7.559078E-02,6.521576E-02,5.618340E-02,4.850682E-02,4.172591E-02,3.576490E-02,3.033345E-02,2.587450E-02,2.199183E-02,1.846069E-02,1.529409E-02,1.259720E-02,1.031271E-02,8.647415E-03,7.216119E-03
22.98091,40.56594,0.00000,3.822234E-01,3.533140E-01,3.251250E-01,2.978114E-01,2.715055E-01,2.463342E-01,2.231622E-01,2.028248E-01,1.835462E-01,1.637425E-01,1.453616E-01,1.284222E-01,1.128962E-01,9.877501E-02,8.631949E-02,7.531866E-02,6.501084E-02,5.623597E-02,4.855392E-02,4.176762E-02,3.576304E-02,3.036266E-02,2.589986E-02,2.201395E-02,1.843771E-02,1.528019E-02,1.258961E-02,1.030944E-02,8.661174E-03,7.223480E-03
22.98328,40.56594,0.00000,3.822554E-01,3.533483E-01,3.251609E-01,2.978489E-01,2.715441E-01,2.463736E-01,2.232725E-01,2.029313E-01,1.835942E-01,1.637795E-01,1.453979E-01,1.284576E-01,1.129303E-01,9.880797E-02,8.633740E-02,7.534736E-02,6.503759E-02,5.628862E-02,4.860079E-02,4.180911E-02,3.578380E-02,3.039136E-02,2.592466E-02,2.203563E-02,1.845058E-02,1.529174E-02,1.259979E-02,1.031829E-02,8.674425E-03,7.230120E-03
22.98566,40.56594,0.00000,3.767428E-01,3.479653E-01,3.199325E-01,2.928059E-01,2.667073E-01,2.417686E-01,2.195409E-01,1.993786E-01,1.797582E-01,1.602106E-01,1.421045E-01,1.254327E-01,1.101731E-01,9.631063E-02,8.424155E-02,7.332577E-02,6.329637E-02,5.481464E-02,4.729544E-02,4.065778E-02,3.468927E-02,2.952386E-02,2.516732E-02,2.137753E-02,1.782395E-02,1.475683E-02,1.214594E-02,9.985070E-03,8.405563E-03,6.943953E-03
22.98804,40.56594,0.00000,3.767748E-01,3.479992E-01,3.199683E-01,2.928431E-01,2.667455E-01,2.418075E-01,2.196520E-01,1.994859E-01,1.797953E-01,1.602471E-01,1.421403E-01,1.254673E-01,1.102066E-01,9.634301E-02,8.425900E-02,7.335351E-02,6.335495E-02,5.486700E-02,4.734184E-02,4.069854E-02,3.470897E-02,2.955170E-02,2.519148E-02,2.139822E-02,1.783594E-02,1.476748E-02,1.215533E-02,9.999201E-03,8.417986E-03,6.949585E-03
22.99041,40.56594,0.00000,3.768063E-01,3.480331E-01,3.200037E-01,2.928798E-01,2.667834E-01,2.418460E-01,2.198086E-01,1.996326E-01,1.798322E-01,1.602832E-01,1.421757E-01,1.255016E-01,1.102397E-01,9.637494E-02,8.427647E-02,7.338067E-02,6.341759E-02,5.492201E-02,4.738984E-02,4.074023E-02,3.472815E-02,2.957948E-02,2.521551E-02,2.141873E-02,1.784749E-02,1.477770E-02,1.216433E-02,1.001309E-02,8.430173E-03,6.954997E-03
22.99279,40.56594,0.00000,4.263408E-01,4.002490E-01,3.718299E-01,3.431776E-01,3.152938E-01,2.883413E-01,2.624356E-01,2.377124E-01,2.163572E-01,1.963576E-01,1.763984E-01,1.570938E-01,1.392352E-01,1.228038E-01,1.077843E-01,9.415225E-02,8.240855E-02,7.158463E-02,6.193894E-02,5.360781E-02,4.622849E-02,3.971805E-02,3.376006E-02,2.881141E-02,2.454572E-02,2.078725E-02,1.729441E-02,1.430590E-02,1.176430E-02,9.736081E-03
22.99517,40.56594,0.00000,4.304881E-01,4.011472E-01,3.718613E-01,3.432110E-01,3.153290E-01,2.883780E-01,2.624732E-01,2.394394E-01,2.181746E-01,1.971386E-01,1.764348E-01,1.571296E-01,1.392700E-01,1.228374E-01,1.078168E-01,9.418342E-02,8.242528E-02,7.167523E-02,6.226625E-02,5.388425E-02,4.646095E-02,3.984561E-02,3.387856E-02,2.896371E-02,2.466930E-02,2.079927E-02,1.730504E-02,1.431527E-02,1.177246E-02,9.755032E-03
22.99755,40.56594,0.00000,4.309239E-01,4.011759E-01,3.718924E-01,3.432440E-01,3.153639E-01,2.884141E-01,2.625105E-01,2.397402E-01,2.184721E-01,1.971753E-01,1.764710E-01,1.571651E-01,1.393047E-01,1.228708E-01,1.078491E-01,9.421902E-02,8.253499E-02,7.200747E-02,6.257272E-02,5.416436E-02,4.671442E-02,3.986501E-02,3.397823E-02,2.905084E-02,2.474449E-02,2.081092E-02,1.731534E-02,1.432431E-02,1.178029E-02,9.781058E-03
22.99992,40.56594,0.00000,4.309491E-01,4.012039E-01,3.719231E-01,3.432768E-01,3.153983E-01,2.884498E-01,2.625472E-01,2.399317E-01,2.186578E-01,1.972116E-01,1.765068E-01,1.572001E-01,1.393389E-01,1.229040E-01,1.078809E-01,9.435972E-02,8.266108E-02,7.211851E-02,6.266976E-02,5.424863E-02,4.678692E-02,3.988388E-02,3.401820E-02,2.908464E-02,2.477305E-02,2.082210E-02,1.732520E-02,1.433299E-02,1.178775E-02,9.794702E-03
23.00230,40.56594,0.00000,4.326036E-01,4.027873E-01,3.734277E-01,3.446977E-01,3.167318E-01,2.896926E-01,2.636990E-01,2.410201E-01,2.196869E-01,1.981327E-01,1.773436E-01,1.579562E-01,1.400182E-01,1.235115E-01,1.084213E-01,9.487145E-02,8.311436E-02,7.247956E-02,6.301984E-02,5.455383E-02,4.705212E-02,4.010852E-02,3.421009E-02,2.925038E-02,2.491563E-02,2.094871E-02,1.743250E-02,1.442365E-02,1.186383E-02,9.855723E-03
22.94287,40.56817,0.00000,3.795237E-01,3.537788E-01,3.282005E-01,3.004696E-01,2.737683E-01,2.482277E-01,2.239666E-01,2.010664E-01,1.812723E-01,1.632745E-01,1.460517E-01,1.289266E-01,1.132443E-01,9.898767E-02,8.662726E-02,7.537567E-02,6.499944E-02,5.576460E-02,4.769409E-02,4.100145E-02,3.511780E-02,2.997218E-02,2.548509E-02,2.159923E-02,1.823898E-02,1.516680E-02,1.248156E-02,1.020944E-02,8.422314E-03,7.057730E-03
22.94525,40.56817,0.00000,3.796400E-01,3.538949E-01,3.282379E-01,3.005086E-01,2.738087E-01,2.482692E-01,2.240089E-01,2.011087E-01,1.813650E-01,1.633621E-01,1.460907E-01,1.289649E-01,1.132813E-01,9.902355E-02,8.664595E-02,7.540680E-02,6.502911E-02,5.579215E-02,4.773981E-02,4.104374E-02,3.515670E-02,3.000795E-02,2.551422E-02,2.162956E-02,1.826678E-02,1.517949E-02,1.249283E-02,1.021925E-02,8.442091E-03,7.075552E-03
22.94763,40.56817,0.00000,3.798997E-01,3.542017E-01,3.282748E-01,3.005474E-01,2.738488E-01,2.483104E-01,2.240507E-01,2.011508E-01,1.816089E-01,1.636050E-01,1.461295E-01,1.290028E-01,1.133181E-01,9.905935E-02,8.666491E-02,7.543778E-02,6.505847E-02,5.581979E-02,4.801290E-02,4.129019E-02,3.537705E-02,3.011164E-02,2.559949E-02,2.174828E-02,1.834969E-02,1.519234E-02,1.250423E-02,1.022918E-02,8.471978E-03,7.100371E-03
22.95000,40.56817,0.00000,3.734796E-01,3.478748E-01,3.211424E-01,2.936688E-01,2.672552E-01,2.420350E-01,2.181131E-01,1.958691E-01,1.770204E-01,1.592988E-01,1.416581E-01,1.248995E-01,1.095807E-01,9.567776E-02,8.397166E-02,7.270622E-02,6.262316E-02,5.366231E-02,4.626736E-02,3.975314E-02,3.403075E-02,2.886673E-02,2.459439E-02,2.087634E-02,1.750991E-02,1.447634E-02,1.189775E-02,9.718020E-03,8.120473E-03,6.791173E-03
22.95238,40.56817,0.00000,3.740484E-01,3.484417E-01,3.211791E-01,2.937074E-01,2.672951E-01,2.420757E-01,2.181545E-01,1.962309E-01,1.773494E-01,1.595944E-01,1.416963E-01,1.249368E-01,1.096169E-01,9.571286E-02,8.399048E-02,7.273674E-02,6.265215E-02,5.373123E-02,4.634089E-02,3.981607E-02,3.408569E-02,2.890919E-02,2.463077E-02,2.090838E-02,1.752425E-02,1.448898E-02,1.190903E-02,9.727827E-03,8.140531E-03,6.798603E-03
22.95476,40.56817,0.00000,3.741684E-01,3.485613E-01,3.212158E-01,2.937458E-01,2.673347E-01,2.421161E-01,2.181954E-01,1.963305E-01,1.774434E-01,1.596831E-01,1.417343E-01,1.249738E-01,1.096530E-01,9.574778E-02,8.400894E-02,7.276755E-02,6.268127E-02,5.378144E-02,4.638670E-02,3.985841E-02,3.412468E-02,2.894111E-02,2.465953E-02,2.093480E-02,1.753865E-02,1.450171E-02,1.192037E-02,9.737733E-03,8.159703E-03,6.805487E-03
22.95714,40.56817,0.00000,3.743104E-01,3.487073E-01,3.212522E-01,2.937835E-01,2.673737E-01,2.421563E-01,2.182361E-01,1.964575E-01,1.775637E-01,1.597957E-01,1.417720E-01,1.250107E-01,1.096887E-01,9.578248E-02,8.402742E-02,7.279795E-02,6.270992E-02,5.384170E-02,4.644118E-02,3.990745E-02,3.416947E-02,2.897791E-02,2.469196E-02,2.096394E-02,1.755306E-02,1.451448E-02,1.193177E-02,9.747702E-03,8.178591E-03,6.812373E-03
22.95951,40.56817,0.00000,3.768777E-01,3.512380E-01,3.234453E-01,2.959016E-01,2.694064E-01,2.440932E-01,2.200716E-01,1.982734E-01,1.792614E-01,1.613732E-01,1.431604E-01,1.262874E-01,1.108538E-01,9.683953E-02,8.490155E-02,7.365394E-02,6.347520E-02,5.451896E-02,4.703829E-02,4.043195E-02,3.462853E-02,2.936311E-02,2.502808E-02,2.125648E-02,1.782229E-02,1.474458E-02,1.212737E-02,9.912978E-03,8.308263E-03,6.937894E-03
22.96189,40.56817,0.00000,3.770150E-01,3.513739E-01,3.234809E-01,2.959389E-01,2.694450E-01,2.441327E-01,2.201117E-01,1.983785E-01,1.793606E-01,1.614667E-01,1.431978E-01,1.263240E-01,1.108892E-01,9.687395E-02,8.492006E-02,7.368431E-02,6.350392E-02,5.457018E-02,4.708473E-02,4.047431E-02,3.466720E-02,2.939451E-02,2.505641E-02,2.128207E-02,1.783685E-02,1.475753E-02,1.213885E-02,9.923107E-03,8.326500E-03,6.948552E-03
22.96427,40.56817,0.00000,3.771318E-01,3.514909E-01,3.235161E-01,2.959758E-01,2.694832E-01,2.441718E-01,2.201515E-01,1.984802E-01,1.794574E-01,1.615584E-01,1.432348E-01,1.263603E-01,1.109243E-01,9.690821E-02,8.493768E-02,7.371429E-02,6.353262E-02,5.462120E-02,4.713118E-02,4.051639E-02,3.470558E-02,2.942550E-02,2.508432E-02,2.130719E-02,1.785132E-02,1.477045E-02,1.215028E-02,9.933171E-03,8.344240E-03,6.957654E-03
22.96664,40.56817,0.00000,3.772472E-01,3.516075E-01,3.235509E-01,2.960121E-01,2.695209E-01,2.442107E-01,2.201908E-01,1.985818E-01,1.795538E-01,1.616086E-01,1.432713E-01,1.263960E-01,1.109591E-01,9.694210E-02,8.446185E-02,7.374427E-02,6.356068E-02,5.467218E-02,4.717729E-02,4.055817E-02,3.474350E-02,2.945598E-02,2.511178E-02,2.133178E-02,1.786564E-02,1.478324E-02,1.216155E-02,9.943100E-03,8.361361E-03,6.965163E-03
22.96902,40.56817,0.00000,3.799888E-01,3.543132E-01,3.263782E-01,2.987431E-01,2.721432E-01,2.467101E-01,2.225602E-01,2.006612E-01,1.815152E-01,1.634900E-01,1.450656E-01,1.280463E-01,1.124650E-01,9.830873E-02,8.558483E-02,7.485140E-02,6.455070E-02,5.552277E-02,4.792998E-02,4.122201E-02,3.532622E-02,2.995192E-02,2.554538E-02,2.170878E-02,1.821409E-02,1.508114E-02,1.241473E-02,1.015709E-02,8.524201E-03,7.111897E-03
22.97140,40.56817,0.00000,3.801052E-01,3.544307E-01,3.264124E-01,2.987789E-01,2.721802E-01,2.467483E-01,2.225989E-01,2.007648E-01,1.816139E-01,1.635839E-01,1.451018E-01,1.280818E-01,1.124996E-01,9.834237E-02,8.560316E-02,7.488091E-02,6.457867E-02,5.557476E-02,4.797664E-02,4.126406E-02,3.536409E-02,2.998222E-02,2.557233E-02,2.173262E-02,1.822827E-02,1.509383E-02,1.242593E-02,1.016700E-02,8.540348E-03,7.121025E-03
22.97378,40.56817,0.00000,3.804439E-01,3.515674E-01,3.234201E-01,2.961588E-01,2.699120E-01,2.448083E-01,2.217276E-01,2.014617E-01,1.822603E-01,1.625400E-01,1.442451E-01,1.273906E-01,1.119491E-01,9.791015E-02,8.562112E-02,7.461336E-02,6.437735E-02,5.567000E-02,4.805457E-02,4.132815E-02,3.536374E-02,3.004022E-02,2.561887E-02,2.177001E-02,1.820664E-02,1.508097E-02,1.241920E-02,1.016458E-02,8.555886E-03,7.133180E-03
22.97615,40.56817,0.00000,4.019491E-01,3.747981E-01,3.460555E-01,3.180685E-01,2.909990E-01,2.649651E-01,2.401007E-01,2.178112E-01,1.977423E-01,1.783541E-01,1.588980E-01,1.408857E-01,1.243059E-01,1.091390E-01,9.536570E-02,8.348478E-02,7.255608E-02,6.255966E-02,5.416239E-02,4.672227E-02,4.015546E-02,3.425273E-02,2.915985E-02,2.485061E-02,2.110350E-02,1.757173E-02,1.453971E-02,1.196009E-02,9.844752E-03,8.285475E-03
22.97853,40.56817,0.00000,4.022132E-01,3.748311E-01,3.460907E-01,3.181055E-01,2.910373E-01,2.650045E-01,2.401407E-01,2.179661E-01,1.978861E-01,1.783922E-01,1.589354E-01,1.409222E-01,1.243414E-01,1.091734E-01,9.539904E-02,8.350280E-02,7.258498E-02,6.262050E-02,5.421615E-02,4.676953E-02,4.019705E-02,3.427393E-02,2.918857E-02,2.487570E-02,2.112545E-02,1.758499E-02,1.455149E-02,1.197049E-02,9.860436E-03,8.299544E-03
22.98091,40.56817,0.00000,4.023014E-01,3.748640E-01,3.461258E-01,3.181422E-01,2.910753E-01,2.650434E-01,2.401803E-01,2.180690E-01,1.979867E-01,1.784299E-01,1.589724E-01,1.409586E-01,1.243768E-01,1.092075E-01,9.543214E-02,8.352020E-02,7.261334E-02,6.267755E-02,5.426731E-02,4.681503E-02,4.023759E-02,3.429474E-02,2.921682E-02,2.490042E-02,2.114339E-02,1.759791E-02,1.456297E-02,1.198068E-02,9.875576E-03,8.313095E-03
22.98328,40.56817,0.00000,4.024152E-01,3.748961E-01,3.461602E-01,3.181786E-01,2.911129E-01,2.650820E-01,2.402197E-01,2.181789E-01,1.980925E-01,1.784674E-01,1.590091E-01,1.409944E-01,1.244117E-01,1.092413E-01,9.546478E-02,8.353797E-02,7.264174E-02,6.273476E-02,5.431869E-02,4.686053E-02,4.027787E-02,3.431506E-02,2.924470E-02,2.492478E-02,2.115751E-02,1.761047E-02,1.457409E-02,1.199057E-02,9.890246E-03,8.326206E-03
22.98566,40.56817,0.00000,3.895930E-01,3.605382E-01,3.321604E-01,3.046165E-01,2.780529E-01,2.525862E-01,2.287635E-01,2.081581E-01,1.885940E-01,1.686392E-01,1.498948E-01,1.325970E-01,1.167158E-01,1.022451E-01,8.918887E-02,7.814194E-02,6.753750E-02,5.847587E-02,5.053977E-02,4.352153E-02,3.731947E-02,3.167399E-02,2.704560E-02,2.301046E-02,1.933639E-02,1.605016E-02,1.324490E-02,1.086439E-02,9.095114E-03,7.600070E-03
22.98804,40.56817,0.00000,3.896316E-01,3.605710E-01,3.321954E-01,3.046529E-01,2.780907E-01,2.526248E-01,2.289844E-01,2.083626E-01,1.887810E-01,1.686760E-01,1.499308E-01,1.326320E-01,1.167499E-01,1.022779E-01,8.920651E-02,7.817041E-02,6.756409E-02,5.854084E-02,5.059552E-02,4.356928E-02,3.733993E-02,3.170476E-02,2.707199E-02,2.303304E-02,1.934890E-02,1.606142E-02,1.325473E-02,1.087309E-02,9.108366E-03,7.607116E-03
22.99041,40.56817,0.00000,3.896618E-01,3.606034E-01,3.322299E-01,3.046888E-01,2.781281E-01,2.526628E-01,2.290830E-01,2.084605E-01,1.888769E-01,1.687123E-01,1.499663E-01,1.326667E-01,1.167834E-01,1.023103E-01,8.922400E-02,7.819799E-02,6.758994E-02,5.859533E-02,5.064441E-02,4.361223E-02,3.735987E-02,3.173431E-02,2.709783E-02,2.305525E-02,1.936098E-02,1.607226E-02,1.326421E-02,1.088144E-02,9.121393E-03,7.614065E-03
22.99279,40.56817,0.00000,3.841693E-01,3.552323E-01,3.270049E-01,2.996414E-01,2.732775E-01,2.480370E-01,2.252796E-01,2.048383E-01,1.850076E-01,1.651048E-01,1.466312E-01,1.295995E-01,1.139810E-01,9.976912E-02,8.709577E-02,7.613517E-02,6.584048E-02,5.708054E-02,4.930164E-02,4.242659E-02,3.623387E-02,3.084182E-02,2.631790E-02,2.237666E-02,1.871299E-02,1.551825E-02,1.279335E-02,1.049167E-02,8.842889E-03,7.351017E-03
22.99517,40.56817,0.00000,3.841995E-01,3.552648E-01,3.270392E-01,2.996771E-01,2.733146E-01,2.480749E-01,2.253146E-01,2.048697E-01,1.850442E-01,1.651407E-01,1.466665E-01,1.296337E-01,1.140140E-01,9.980088E-02,8.711306E-02,7.616204E-02,6.589557E-02,5.713015E-02,4.934577E-02,4.246563E-02,3.625267E-02,3.084792E-02,2.632329E-02,2.238118E-02,1.872413E-02,1.552811E-02,1.280195E-02,1.050634E-02,8.855811E-03,7.352136E-03
22.99755,40.56817,0.00000,3.842294E-01,3.552967E-01,3.270731E-01,2.997124E-01,2.733514E-01,2.481125E-01,2.260066E-01,2.055453E-01,1.850804E-01,1.651765E-01,1.467014E-01,1.296676E-01,1.140467E-01,9.983218E-02,8.722091E-02,7.618880E-02,6.623048E-02,5.743420E-02,4.961989E-02,4.270025E-02,3.627110E-02,3.098724E-02,2.644123E-02,2.246475E-02,1.873493E-02,1.553762E-02,1.281020E-02,1.053445E-02,8.878438E-03,7.382152E-03
22.99992,40.56817,0.00000,3.849591E-01,3.559619E-01,3.276738E-01,3.002494E-01,2.738270E-01,2.493695E-01,2.276685E-01,2.067211E-01,1.853821E-01,1.654349E-01,1.469212E-01,1.298530E-01,1.142020E-01,9.996179E-02,8.754908E-02,7.645050E-02,6.661096E-02,5.775720E-02,4.989339E-02,4.274932E-02,3.635546E-02,3.113657E-02,2.656464E-02,2.248935E-02,1.875479E-02,1.555351E-02,1.282291E-02,1.055606E-02,8.896348E-03,7.406218E-03
23.00230,40.56817,0.00000,3.827280E-01,3.537834E-01,3.255576E-01,2.982085E-01,2.718689E-01,2.479937E-01,2.263492E-01,2.050602E-01,1.838282E-01,1.639891E-01,1.455871E-01,1.286277E-01,1.130848E-01,9.895021E-02,8.678663E-02,7.567689E-02,6.598623E-02,5.719698E-02,4.939408E-02,4.224010E-02,3.596913E-02,3.079573E-02,2.626627E-02,2.219193E-02,1.849946E-02,1.533529E-02,1.263768E-02,1.043410E-02,8.792317E-03,7.278478E-03
22.94287,40.57040,0.00000,3.791648E-01,3.534562E-01,3.280146E-01,3.002914E-01,2.735984E-01,2.480666E-01,2.238150E-01,2.009245E-01,1.812238E-01,1.632384E-01,1.459414E-01,1.288261E-01,1.131532E-01,9.890582E-02,8.655309E-02,7.531121E-02,6.494283E-02,5.571480E-02,4.770437E-02,4.101329E-02,3.513068E-02,2.998608E-02,2.549640E-02,2.161404E-02,1.825405E-02,1.515176E-02,1.246883E-02,1.019872E-02,8.438856E-03,7.073877E-03
22.94525,40.57040,0.00000,3.792088E-01,3.534976E-01,3.280517E-01,3.003304E-01,2.736387E-01,2.481082E-01,2.238571E-01,2.009668E-01,1.811912E-01,1.632013E-01,1.459804E-01,1.288643E-01,1.131901E-01,9.894170E-02,8.657188E-02,7.534225E-02,6.497218E-02,5.574220E-02,4.772947E-02,4.103812E-02,3.515511E-02,3.000994E-02,2.550061E-02,2.163691E-02,1.827610E-02,1.516444E-02,1.248004E-02,1.020850E-02,8.458533E-03,7.091689E-03
22.94763,40.57040,0.00000,3.799052E-01,3.542084E-01,3.280887E-01,3.003691E-01,2.736786E-01,2.481491E-01,2.238988E-01,2.010087E-01,1.816168E-01,1.636128E-01,1.460190E-01,1.289021E-01,1.132268E-01,9.897735E-02,8.659077E-02,7.537360E-02,6.500169E-02,5.576970E-02,4.802456E-02,4.130280E-02,3.539036E-02,3.008283E-02,2.561080E-02,2.175956E-02,1.833194E-02,1.517726E-02,1.249142E-02,1.021841E-02,8.488649E-03,7.116662E-03
22.95000,40.57040,0.00000,3.734858E-01,3.478817E-01,3.209580E-01,2.934922E-01,2.670872E-01,2.418762E-01,2.179637E-01,1.958776E-01,1.770285E-01,1.593065E-01,1.415503E-01,1.248013E-01,1.094918E-01,9.559788E-02,8.389939E-02,7.264387E-02,6.256811E-02,5.365584E-02,4.627929E-02,3.976592E-02,3.404430E-02,2.887834E-02,2.460577E-02,2.088765E-02,1.749283E-02,1.446181E-02,1.188546E-02,9.707662E-03,8.137130E-03,6.784614E-03
22.95238,40.57040,0.00000,3.736024E-01,3.479987E-01,3.209946E-01,2.935306E-01,2.671268E-01,2.419167E-01,2.180049E-01,1.959757E-01,1.771217E-01,1.593944E-01,1.415884E-01,1.248384E-01,1.095278E-01,9.563287E-02,8.391818E-02,7.267424E-02,6.259710E-02,5.370575E-02,4.632512E-02,3.980821E-02,3.408334E-02,2.891039E-02,2.463471E-02,2.091428E-02,1.750713E-02,1.447445E-02,1.189671E-02,9.717413E-03,8.156579E-03,6.791431E-03
22.95476,40.57040,0.00000,3.741504E-01,3.485466E-01,3.210310E-01,2.935690E-01,2.671663E-01,2.419572E-01,2.180457E-01,1.963201E-01,1.774351E-01,1.596764E-01,1.416263E-01,1.248753E-01,1.095637E-01,9.566776E-02,8.393633E-02,7.270484E-02,6.262556E-02,5.378887E-02,4.639618E-02,3.986918E-02,3.413644E-02,2.895140E-02,2.466990E-02,2.094523E-02,1.752149E-02,1.448715E-02,1.190800E-02,9.727304E-03,8.175821E-03,6.798288E-03
22.95714,40.57040,0.00000,3.742671E-01,3.486643E-01,3.210672E-01,2.936067E-01,2.672054E-01,2.419971E-01,2.180863E-01,1.964199E-01,1.775296E-01,1.597657E-01,1.416638E-01,1.249121E-01,1.095995E-01,9.570241E-02,8.395482E-02,7.273494E-02,6.265471E-02,5.383922E-02,4.644226E-02,3.991147E-02,3.417525E-02,2.898314E-02,2.469848E-02,2.097138E-02,1.753587E-02,1.449990E-02,1.191937E-02,9.744558E-03,8.194757E-03,6.805157E-03
22.95951,40.57040,0.00000,3.763683E-01,3.507369E-01,3.232597E-01,2.957240E-01,2.692373E-01,2.439333E-01,2.199209E-01,1.980077E-01,1.790255E-01,1.611676E-01,1.430514E-01,1.261881E-01,1.107638E-01,9.675861E-02,8.433425E-02,7.359079E-02,6.341938E-02,5.449342E-02,4.702253E-02,4.042429E-02,3.462635E-02,2.936442E-02,2.503211E-02,2.126247E-02,1.780485E-02,1.472977E-02,1.211478E-02,9.902350E-03,8.324510E-03,6.938259E-03
